,lneur,r-mkt,lncpi,lnipsa,lntr
1996-10,0.030174354,0.0986,0.07281332,0.025440004,0.266051123
1996-11,0.035802223,0.1145,0.077326083,0.042199434,0.280078228
1996-12,0.034669096,0.1016,0.085765842,0.042296451,0.232490165
1997-01,0.038899595,0.0902,0.098539774,-0.059019309,0.214934376
1997-02,0.035587121,0.1014,0.105464956,-0.041070395,0.296695095
1997-03,0.037736682,0.0983,0.110320082,-0.014054236,0.30642432
1997-04,0.039776355,0.086,0.121975894,0.043314559,0.314549208
1997-05,0.03440006,0.0947,0.138218643,0.017247256,0.393959078
1997-06,0.023199391,0.0963,0.138218643,0.015634497,0.452592568
1997-07,0.044989046,0.0922,0.143896982,0.02519332,0.479924514
1997-08,0.052718841,0.1035,0.145827963,0.019314152,0.534573815
1997-09,0.061970155,0.104,0.151463378,0.01735667,0.589072825
1997-10,0.068057464,0.0991,0.15611298,0.030459106,0.615930064
1997-11,0.072238269,0.1019,0.164547118,0.037960327,0.612432378
1997-12,0.071574917,0.0976,0.170078313,0.047144981,0.599087598
1998-01,0.071481038,0.0943,0.183863202,0.045512075,0.582892211
1998-02,0.071950203,0.0908,0.192834636,0.045724794,0.594424697
1998-03,0.06197181,0.0883,0.200509397,0.048861968,0.590430978
1998-04,0.065131096,0.1003,0.209194105,0.043159486,0.609743603
1998-05,0.061723252,0.0859,0.217792531,0.047685474,0.800566768
1998-06,0.065547995,0.0725,0.217792531,0.023682291,0.697205849
1998-07,0.063704845,0.069,0.217792531,0.032939658,0.672762768
1998-08,0.082344418,0.0612,0.218839164,0.057316953,0.673451973
1998-09,0.070830365,0.0642,0.219746892,0.047212558,0.74143796
1998-10,0.07729733,0.0548,0.222591126,0.032391133,0.749542661
1998-11,0.085385862,0.0572,0.22646597,0.05507821,0.717542505
1998-12,0.091839114,0.0558,0.233004208,0.007441051,0.692306533
1999-01,0.093926062,0.0556,0.243455791,0.042500156,0.665926303
1999-02,0.098112302,0.0673,0.246971403,0.001233919,0.660116225
1999-03,0.104931551,0.0626,0.249884237,0.014388304,0.753495543
1999-04,0.105876377,0.0787,0.253810369,-0.029506785,0.725159123
1999-05,0.112022199,0.0808,0.259588045,0.015913431,0.662321972
1999-06,0.121580029,0.0661,0.259588045,0.049883044,0.597907297
1999-07,0.13178222,0.0729,0.27602887,0.021446127,0.59167788
1999-08,0.147468824,0.0694,0.284633492,0.042955916,0.561355277
1999-09,0.13490357,0.0683,0.292203762,0.052335146,0.562401118
1999-10,0.134078905,0.0669,0.29693548,0.073169232,0.554584136
1999-11,0.133969404,0.0677,0.301644915,0.057871081,0.558943169
1999-12,0.139966298,0.0685,0.309896405,0.060360863,0.553830001
2000-01,0.137168665,0.0687,0.317955443,0.044360675,0.52380676
2000-02,0.156516467,0.0712,0.326889441,0.096495396,0.504034123
2000-03,0.159541838,0.0699,0.335611367,0.089246314,0.591617092
2000-04,0.168492621,0.0754,0.341465361,0.092074726,0.56103567
2000-05,0.165936871,0.0811,0.346243433,0.122133174,0.534303472
2000-06,0.18335632,0.0757,0.352035696,0.124575396,0.545719549
2000-07,0.180583337,0.0723,0.360671639,0.117887607,0.530969674
2000-08,0.193430063,0.0533,0.363530478,0.107753133,0.492981633
2000-09,0.194474997,0.0626,0.377595463,0.117878612,0.490068955
2000-10,0.187795793,0.0702,0.383219197,0.104175735,0.480247338
2000-11,0.208120566,0.0615,0.394363021,0.123949753,0.482768568
2000-12,0.20790333,0.0722,0.39524032,0.144050354,0.562632684
2001-01,0.226154374,0.0719,0.398885869,0.094305923,0.536274657
2001-02,0.230177449,0.0749,0.410227713,0.095033212,0.559800149
2001-03,0.226917794,0.0728,0.420963498,0.109233142,0.534042715
2001-04,0.217199498,0.0756,0.427562823,0.108325421,0.690741486
2001-05,0.22259842,0.0747,0.43894561,0.102679084,0.667899641
2001-06,0.234564472,0.0774,0.442913413,0.10408454,0.668386738
2001-07,0.239725528,0.0753,0.445070218,0.113858778,0.719149141
2001-08,0.250121415,0.0682,0.444712602,0.044418761,0.691250601
2001-09,0.240923318,0.0673,0.453423951,0.0357559,0.738172347
2001-10,0.244931886,0.0644,0.45804097,0.055738874,0.77249891
2001-11,0.249924921,0.0586,0.462402525,0.032244156,0.790612442
2001-12,0.252045105,0.0474,0.463348177,0.054167887,0.86629476
2002-01,0.255799135,0.0455,0.479094002,0.070852607,0.852982494
2002-02,0.261982901,0.047,0.488188542,0.072331723,0.907283854
2002-03,0.266921331,0.0464,0.494595735,0.058825753,0.909480431
2002-04,0.26561718,0.0466,0.5082871,0.087893986,0.965360432
2002-05,0.274414588,0.0475,0.511320544,0.049122152,0.998477376
2002-06,0.274920132,0.0568,0.509069974,0.053055209,1.084318982
2002-07,0.273012806,0.0506,0.51444746,0.07274586,1.071132709
2002-08,0.278937353,0.0505,0.515345176,0.07182323,1.083146489
2002-09,0.292482471,0.0507,0.523015486,0.074748239,1.169767814
2002-10,0.290277315,0.0516,0.527542314,0.06608005,1.187308936
2002-11,0.289293725,0.0506,0.527652057,0.058863921,1.307778556
2002-12,0.299503406,0.0473,0.533266621,0.058291249,1.343811395
2003-01,0.301411489,0.051,0.543297398,0.05365007,1.373595927
2003-02,0.294768406,0.061,0.548386932,0.078712947,1.391339855
2003-03,0.315638482,0.0607,0.555488743,0.073507801,1.359540389
2003-04,0.317521701,0.0637,0.560296189,0.064193105,1.387427842
2003-05,0.304485454,0.0608,0.565194464,0.066222138,1.458152939
2003-06,0.308095537,0.0578,0.567849537,0.053592518,1.463521989
2003-07,0.29980411,0.0494,0.572493145,0.062578317,1.457894785
2003-08,0.314747976,0.055,0.568797808,0.078974832,1.433283843
2003-09,0.33469332,0.0618,0.571653393,0.082102796,1.464516676
2003-10,0.308257086,0.0527,0.574814941,0.103637564,1.478473379
2003-11,0.318132518,0.0496,0.577332183,0.102688217,1.499049249
2003-12,0.329944653,0.0469,0.57848815,0.08959799,1.540432095
