,lndem,r-mkt,r-bond,lncpi,lnipsa,lntr
1997-07,-0.020139696,0.0308,0.05856087,0.023555693,0.121577867,0.069799456
1997-08,-0.012646697,0.0313,0.058961905,0.025669859,0.111175378,0.065236852
1997-09,-0.012649128,0.0331,0.058345455,0.026725268,0.105292105,0.057733268
1997-10,-0.008875573,0.0357,0.057473913,0.02883275,0.119935892,0.112394682
1997-11,-0.00491077,0.0365,0.057875,0.027779564,0.138967869,-0.164476296
1997-12,-0.005185857,0.036,0.05583,0.02883275,0.163712511,-0.176198267
1998-01,-0.002589066,0.0348,0.053045,0.029884828,0.14945493,-0.218555456
1998-02,-0.001849737,0.0342,0.051635,0.029884828,0.160318897,-0.239060325
1998-03,-0.001643199,0.0347,0.050395455,0.031985669,0.176695335,-0.353468108
1998-04,-0.002750707,0.0363,0.050125,0.036174157,0.175739403,-0.264494182
1998-05,0.000347022,0.0375,0.050768421,0.036174157,0.194698271,-0.208723648
1998-06,-0.001166714,0.0373,0.049533333,0.03826184,0.171066105,-0.149964686
1998-07,0.000706904,0.0367,0.048608696,0.035128679,0.198912303,-0.122136736
1998-08,-0.002289412,0.0361,0.04677619,0.037218543,0.196807507,-0.127781752
1998-09,0.000547166,0.0354,0.044495455,0.03930405,0.199145896,-0.210096827
1998-10,0.002154057,0.0354,0.044454545,0.03930405,0.216282093,-0.165177586
1998-11,0.003042373,0.0361,0.044080952,0.037218543,0.204387364,-0.09591714
1998-12,0.001827349,0.0337,0.040638095,0.037218543,0.193289638,-0.034850094
1999-01,#N/A,0.03132,0.039126316,0.034082106,0.217887985,-0.18294935
1999-02,#N/A,0.03095,0.040445,0.037218543,0.212486542,-0.245386094
1999-03,#N/A,0.03047,0.042573913,0.03930405,0.218689964,-0.225547243
1999-04,#N/A,0.02697,0.040735,0.046569261,0.239879599,-0.20126194
1999-05,#N/A,0.02579,0.042425,0.049666837,0.215478179,-0.241861623
1999-06,#N/A,0.02627,0.045771429,0.048635377,0.237185057,-0.22629646
1999-07,#N/A,0.02677,0.04915,0.046569261,0.242343233,-0.211198699
1999-08,#N/A,0.02695,0.051463636,0.047602853,0.225310313,-0.218711649
1999-09,#N/A,0.02727,0.053190909,0.05172657,0.253244464,-0.220323348
1999-10,#N/A,0.03376,0.055604762,0.052754848,0.239431012,-0.24633893
1999-11,#N/A,0.03468,0.052745455,0.052754848,0.245692983,-0.273129291
