,lndem,r-mkt,lncpi,lnipsa,lntr
1997-11,-0.121117505,0.06497,0.046799169,0.016649708,0.441583679
1997-12,-0.11882646,0.06077,0.046799169,0.019740901,0.468039955
1998-01,-0.115217312,0.06094,0.049599436,0.015617184,0.402530001
1998-02,-0.11408682,0.06129,0.052391883,0.015617184,0.44835652
1998-03,-0.115198729,0.05601,0.055176555,0.013548931,0.425554129
1998-04,-0.112615692,0.05225,0.056106539,0.016649708,0.413596004
1998-05,-0.114043053,0.0511,0.057953493,0.016649708,0.34888507
1998-06,-0.11729487,0.05117,0.0588809,0.014583592,0.290142866
1998-07,-0.114254736,0.0488,0.0588809,0.012513198,0.2005936
1998-08,-0.113836958,0.04894,0.059797042,0,0.217725103
1998-09,-0.112463678,0.04969,0.059797042,0.014583592,0.114087803
1998-10,-0.110322545,0.04532,0.061647585,0.008359505,0.105552733
1998-11,-0.111208066,0.03951,0.063484343,0.004188488,0.055974186
1998-12,-0.112251276,0.03343,0.063484343,-0.017999427,-0.15518258
1999-01,#N/A,0.03096,0.064406637,-0.003152919,-0.393048636
1999-02,#N/A,0.03076,0.066238338,-0.00631581,-0.450686526
1999-03,#N/A,0.03028,0.068066691,-0.003152919,-0.486996887
1999-04,#N/A,0.02676,0.070808113,-0.008429976,-0.479152908
1999-05,#N/A,0.02558,0.072628136,-0.014799424,-0.499259324
1999-06,#N/A,0.02624,0.072628136,-0.001049869,-0.494954576
1999-07,#N/A,0.02677,0.075357099,0.007318381,-0.447588977
1999-08,#N/A,0.02694,0.076268513,0.012513198,-0.431317034
1999-09,#N/A,0.02721,0.078078635,0.018711565,-0.440264966
1999-10,#N/A,0.03363,0.081699259,0.026916739,-0.442773203
1999-11,#N/A,0.03454,0.083499586,0.030994216,-0.499509512
